Name,Sub-Location,Address,Telephone,URL,Hours,Listedin,Modes of Payment,Year
 Sai Kids,Selaiyur,"No 7, Netaji Street Ganesh Nagar, Selaiyur, Chennai - 600073, Near Selayur Post Office",['+(91)-44-33026179'],, Monday  - 12:00 am - 11:59 pm || Tuesday  - 12:00 am - 11:59 pm || Wednesday  - 12:00 am - 11:59 pm || Thursday  - 12:00 am - 11:59 pm || Friday  - 12:00 am - 11:59 pm || Saturday  - 12:00 am - 11:59 pm || Sunday  - 12:00 am - 11:59 pm,Language- Classes- For- English- Conversation- Yoga- Classes- Kindergartens- Dance- Classes- Summer- Camps- Language- Classes- For- Hindi- Drawing- Classes- Music- Classes- Abacus- Classes- Playgroups- more...,,2008
 I Kidz,Besant Nagar,"No 29/53, Rukumani Road, Besant Nagar, Chennai - 600090, Near Karaikudi Hotel",['+(91)-44-39975711'],www.ikidz.in, Monday  - 09:00 am - 08:00 pm || Tuesday  - 09:00 am - 08:00 pm || Wednesday  - 09:00 am - 08:00 pm || Thursday  - 09:00 am - 08:00 pm || Friday  - 09:00 am - 08:00 pm || Saturday  - 09:00 am - 08:00 pm || Sunday  - Closed,Kindergartens- Language- Classes- For- English- Language- Classes- For- Hindi- Playgroups- Day- Care- Centres- Handwriting- Classes- Creche- Nursery- Schools- Dance- Schools- Training- Pre- School- Skills- more...,Cash- Cheques,2014
 Orange Buds Preschool,Pallavaram,"No 4/54, Pillaiyar Koil Street R P Road, Pallavaram, Chennai - 600043, Opp To St Sebastin Matric School",['+(91)-44-33048966'],www.orangebuds.in, Monday  - 09:30 am - 02:30 pm || Tuesday  - 09:30 am - 02:30 pm || Wednesday  - 09:30 am - 02:30 pm || Thursday  - 09:30 am - 02:30 pm || Friday  - 09:30 am - 02:30 pm || Saturday  - 09:30 am - 02:30 pm || Sunday  - 10:00 am - 02:30 pm,Playgroups- Kindergartens,Cash- Cheques,2011
 Little Millennium,Arumbakkam,"No 35/B 13, Water Tank Road Mmda Colony, Arumbakkam, Chennai - 600106, Near India Oversees Bank",['+(91)-44-33027910'],www.myplayschools.in, Monday  - 09:00 am - 07:00 pm || Tuesday  - 09:00 am - 07:00 pm || Wednesday  - 09:00 am - 07:00 pm || Thursday  - 09:00 am - 07:00 pm || Friday  - 09:00 am - 07:00 pm || Saturday  - 09:00 am - 07:00 pm || Sunday  - Closed,Playgroups- Kindergartens- Day- Care- Centres- Creche- Nursery- Schools- more...,,2011
 Annai Violet International School,Ambattur,"No 11, Red Hills Road, Ambattur, Chennai - 600053, Anna Anadhi Illam Pudur",['+(91)-44-33052195'],www.violetcbse.in, Monday  - 08:30 am - 05:00 am || Tuesday  - 08:30 am - 05:00 am || Wednesday  - 08:30 am - 05:00 am || Thursday  - 08:30 am - 05:00 am || Friday  - 08:30 am - 05:00 am || Saturday  - 08:30 am - 05:00 am || Sunday  - Closed,CBSE- Schools- Kindergartens- Boarding- Schools- International- Schools- CBSE- Boarding- Schools- Boys- Boarding- Schools- CBSE- Boarding- Schools- For- Girls- CBSE- Boarding- Schools- For- Boys,Cash- Cheques,2013
 Blossoms International Play School,Anna Nagar West,"No 43 Ap Block, Ur Nagar Extension 13th Street, Anna Nagar West, Chennai - 600101, Behind Newry Towers Park Road",['+(91)-44-39615249'],www.blossomsplayschool.com, Monday  - 09:00 am - 07:00 pm || Tuesday  - 09:00 am - 07:00 pm || Wednesday  - 09:00 am - 07:00 pm || Thursday  - 09:00 am - 07:00 pm || Friday  - 09:00 am - 07:00 pm || Saturday  - 09:00 am - 07:00 pm || Sunday  - Closed,Playgroups- Kindergartens- Handwriting- Classes- Creche- Nursery- Schools- Training- Pre- School- Skills,Cash- Cheques,2010
 PODAR JUMBO KIDS,Mugalivakkam,"16, Raja Street, Mugalivakkam, Chennai - 600125, Guru Swamy Nagar Extension",['+(91)-44-33038576'],, Monday  - 09:30 am - 06:30 pm || Tuesday  - 09:30 am - 06:30 pm || Wednesday  - 09:30 am - 06:30 pm || Thursday  - 09:30 am - 06:30 pm || Friday  - 09:30 am - 06:30 pm || Saturday  - 09:30 am - 06:30 pm || Sunday  - 05:30 am - 05:30 am,Nursery- Schools- Kindergartens- Playgroups- Day- Care- Centres- Baby- Sitters- Montessori- Schools- Creche- Pre- Schools- Activity- Clubs- Montessori- Institutes- more...,Cash- Cheques,2012
 Little Millennium,Ekkaduthangal,"No 89 4th Avenue, Sundar Nagar, Ekkaduthangal, Chennai - 600032, Behind Olympia IT Park&HCL Technologies",['+(91)-44-33028874'],www.littlemillennium.com, Monday  - 09:30 am - 06:30 pm || Tuesday  - 09:30 am - 06:30 pm || Wednesday  - 09:30 am - 06:30 pm || Thursday  - 09:30 am - 06:30 pm || Friday  - 09:30 am - 06:30 pm || Saturday  - 09:30 am - 06:30 pm || Sunday  - 09:30 am - 06:30 pm,Playgroups- Kindergartens- Day- Care- Centres- Chess- Coaching- Classes- Creche- CBSE- Tutorials- Class- VIII- Tutorials- Tutorials- For- Class- VII- Tutorials- For- Class- IV- 24- Hours- Creche- more...,Cash,2012
 Little Millennium,Neelankarai-palavakkam,"74, Sandeep Avenue, 1st Street, Neelankarai-palavakkam, Chennai - 600041, Street Next to Hotchips",['+(91)-44-33891155'],, Monday  - 09:00 am - 06:00 pm || Tuesday  - 09:00 am - 06:00 pm || Wednesday  - 09:00 am - 06:00 pm || Thursday  - 09:00 am - 06:00 pm || Friday  - 09:00 am - 06:00 pm || Saturday  - 09:00 am - 06:00 pm || Sunday  - Closed,Kindergartens- Playgroups- Day- Care- Centres- Creche- Nursery- Schools- Pre- Schools- Activity- Clubs- Mother- Toddler- Activity- Centres,,
 Early Steps,Gowrivakkam,"No 6, Gurusamy Nagar, Gowrivakkam, Chennai - 600073, Near To Boaz School",['+(91)-44-33072218'],www.earlystepsschool.com, Monday  - 09:30 am - 06:30 pm || Tuesday  - 09:30 am - 06:30 pm || Wednesday  - 09:30 am - 06:30 pm || Thursday  - 09:30 am - 06:30 pm || Friday  - 09:30 am - 06:30 pm || Saturday  - 09:30 am - 06:30 pm || Sunday  - Closed,Day- Care- Centres- Kindergartens- Tailoring- Classes- Dance- Classes- Playgroups- Hindi- Tutorials- Arts- &- Crafts- Classes- Embroidery- Classes- Creche- Dance- Classes- For- Children- more...,Cash,2013
 Divyam Kids International Pre School And Kindergarten,Mogappair East,"No 5, Spartan Nagar, Mogappair East, Chennai - 600037, Behind Dr Cherian Heart Foundation",['+(91)-44-33029572'],www.divyam.org/school,,Playgroups- CBSE- Schools- Kindergartens- Summer- Camps- Primary- Schools- Montessori- Schools- Nursery- Schools- Phonics- Classes,Cheques,2009
 Kidzee,T Nagar,"No 7/21, Parthasarathypuram North Usman Road, T Nagar, Chennai - 600017, Opposite Reliance Fresh",['+(91)-44-30653927'],www.kidzee.com, Monday  - 09:30 am - 07:00 pm || Tuesday  - 09:30 am - 07:00 pm || Wednesday  - 09:30 am - 07:00 pm || Thursday  - 09:30 am - 07:00 pm || Friday  - 09:30 am - 07:00 pm || Saturday  - 09:30 am - 07:00 pm || Sunday  - Closed,Playgroups- Kindergartens- Summer- Camps- Creche,Cash- Master- Card- Visa- Card- Debit- Cards- Money- Orders- Cheques- Diners- Club- Card- Financing- Available- American- Express- Card- Credit- Card,2015
 Bsd Montessori And Kindergarten Training Academy,Perunagalathur,"No C/3 A, Azhagiri Street Thangaraj Nagar, Perunagalathur, Chennai - 600063, Near Thankaraj Rashion Shop",['+(91)-44-33189537'],, Monday  - 09:00 am - 06:00 pm || Tuesday  - 09:00 am - 06:00 pm || Wednesday  - 09:00 am - 06:00 pm || Thursday  - 09:00 am - 06:00 pm || Friday  - 09:00 am - 06:00 pm || Saturday  - 09:00 am - 06:00 pm || Sunday  - 09:00 am - 06:00 pm,Montessori- Teacher- Training- Institutes- Kindergartens- Playgroups,Cash,2015
 Hello Kids Ilanthalir,Kelambakkam,"No 8, Padmavathy nagar (omr), Kelambakkam, Chennai - 603103, Next to chettinadu bus stop & opp to dominos",['+(91)-44-33188724'],www.hellokids.co.in, Monday  - 08:00 am - 07:00 pm || Tuesday  - 08:00 am - 07:00 pm || Wednesday  - 08:00 am - 07:00 pm || Thursday  - 08:00 am - 07:00 pm || Friday  - 08:00 am - 07:00 pm || Saturday  - 08:00 am - 07:00 pm || Sunday  - 05:30 am - 05:30 am,Playgroups- Kindergartens- Abacus- Classes- Hindi- Tutorials- Creche- Nursery- Schools- Dance- Classes- For- Children- Vocal- Music- Classes- For- Children- more...,Cash- Master- Card- Visa- Card- Debit- Cards- Cheques- American- Express- Card- Credit- Card,2012
 Thamarai Kids Academy,Koyambedu,"No 9, Bakthavasalam Street, Koyambedu, Chennai - 600107, Opposite Maruthi Show Room",['+(91)-44-33069216'],, Monday  - 09:00 am - 08:00 pm || Tuesday  - 09:00 am - 08:00 pm || Wednesday  - 09:00 am - 08:00 pm || Thursday  - 09:00 am - 08:00 pm || Friday  - 09:00 am - 08:00 pm || Saturday  - Closed || Sunday  - Closed,Kindergartens- Drawing- Classes- Playgroups- Creche- Nursery- Schools- Dance- Classes- For- Children- Western- Dance- Classes- For- Children- Pre- Schools- Music- Classes- For- Children- Pre- Nursery- Schools- more...,Cash,2010
 Magna Infans International Pre-School,Tambaram West,"No 7/12, Sakthi Nagar 3rd Street, Tambaram West, Chennai - 600045, Near Mahalakshmi Departmental Store",['+(91)-44-33893992'],www.magnainfans.com, Monday  - 06:30 am - 07:00 pm || Tuesday  - 06:30 am - 07:00 pm || Wednesday  - 06:30 am - 07:00 pm || Thursday  - 06:30 am - 07:00 pm || Friday  - 06:30 am - 07:00 pm || Saturday  - 06:30 am - 07:00 pm || Sunday  - Closed,Kindergartens- Playgroups- Abacus- Classes- Day- Care- Centres- Handwriting- Classes- Chess- Coaching- Classes- Nursery- Schools- Pre- Nursery- Schools,Cash- Cheques,2015
 Little Millennium,Neelankarai-palavakkam,"74, Sandeep Avenue, 1st Street, Neelankarai-palavakkam, Chennai - 600041, Street Next to Hotchips",['+(91)-44-33891155'],, Monday  - 09:00 am - 06:00 pm || Tuesday  - 09:00 am - 06:00 pm || Wednesday  - 09:00 am - 06:00 pm || Thursday  - 09:00 am - 06:00 pm || Friday  - 09:00 am - 06:00 pm || Saturday  - 09:00 am - 06:00 pm || Sunday  - Closed,Kindergartens- Playgroups- Day- Care- Centres- Creche- Nursery- Schools- Pre- Schools- Activity- Clubs- Mother- Toddler- Activity- Centres,,
 Kidzee Pre School,Thoraipakkam,"No 3b Shivas Bhagyam, Foundry Road, Thoraipakkam, Chennai - 600097, Near Sangeetha Restaurant Omr",['+(91)-44-33153095'],www.kidzee.com, Monday  - 08:00 am - 08:00 pm || Tuesday  - 08:00 am - 08:00 pm || Wednesday  - 08:00 am - 08:00 pm || Thursday  - 08:00 am - 08:00 pm || Friday  - 08:00 am - 08:00 pm || Saturday  - 08:00 am - 06:00 pm || Sunday  - Closed,Kindergartens- Language- Classes- For- English- Conversation- Dance- Classes- Language- Classes- For- English- Music- Classes- Playgroups- Abacus- Classes- Summer- Camps- Tutorials- For- Class- X- Music- Classes- For- Keyboard- more...,Cash- Cheques,2011
 The Pre School Of India,Porur,"no:16.., sterling avenue, sakthi nagar, Porur, Chennai - 600116",['+(91)-44-30653724'],, Monday  - 12:00 am - 11:59 pm || Tuesday  - 12:00 am - 11:59 pm || Wednesday  - 12:00 am - 11:59 pm || Thursday  - 12:00 am - 11:59 pm || Friday  - 12:00 am - 11:59 pm || Saturday  - 12:00 am - 11:59 pm || Sunday  - 12:00 am - 11:59 pm,Creche- Kindergartens- Summer- Camps- Playgroups- Arts- &- Crafts- Classes- Summer- Camp- Dance- Summer- Camp- Craft- Summer- Camps- For- Chess- Summer- Camp- Music- Summer- Camp- Hand- Writing- more...,Cash- Debit- Cards- Cheques- Credit- Card,2004
 Childrens World Nursery School,Anna Nagar East,"Old No M 8/A New No M 81, 3rd Avenue, Anna Nagar East, Chennai - 600102, Opposite K4 Police Station",['+(91)-44-39614363'],www.childrensworldweb.com, Monday  - 09:00 am - 06:30 pm || Tuesday  - 09:00 am - 06:30 pm || Wednesday  - 09:00 am - 06:30 pm || Thursday  - 09:00 am - 06:30 pm || Friday  - 09:00 am - 06:30 pm || Saturday  - 09:00 am - 01:00 pm || Sunday  - Closed,Language- Classes- For- English- Conversation- Kindergartens- Language- Classes- For- English- Playgroups- Day- Care- Centres- Summer- Camps- Language- Classes- For- French- Montessori- Teacher- Training- Institutes- Arts- &- Crafts- Classes- Nursery- Schools,Cash- Cheques,2000
 Auro Montessori Childrens House,Pammal,"No 4, 3rd Cross Street Krishna Nagar, Pammal, Chennai - 600075, Opposite Siddhi Vinayakar Temple",['+(91)-44-33153132'],, Monday  - 09:00 am - 12:30 pm || Tuesday  - 09:00 am - 12:30 pm || Wednesday  - 09:00 am - 12:30 pm || Thursday  - 09:00 am - 12:30 pm || Friday  - 09:00 am - 12:30 pm || Saturday  - Closed || Sunday  - Closed,Playgroups- Kindergartens- Montessori- Teacher- Training- Institutes- Nursery- Schools- Institutes- For- Distance- Education- B- Ed- Kindergarten- Teacher- Training- Institutes,Cash- Cheques,2009
 My 1st Step,Selaiyur,"No 26 A, Sundar Nagar 100 Feet Road, Selaiyur, Chennai - 600073, Near BSNL Office",['+(91)-44-33891096'],, Monday  - 09:00 am - 07:30 pm || Tuesday  - 09:00 am - 07:30 pm || Wednesday  - 09:00 am - 07:30 pm || Thursday  - 09:00 am - 07:30 pm || Friday  - 09:00 am - 07:30 pm || Saturday  - 09:00 am - 07:30 pm || Sunday  - Closed,Playgroups- Kindergartens- Tutorials- Primary- Schools- Creche- Tutorials- For- Maths- Nursery- Schools- Class- VIII- Tutorials- Class- IX- Tutorials- Tutorials- For- Class- VII- more...,Cash,2013
 Buddies World,Medavakkam,"Plot No 278/2, Kambar Street, Medavakkam, Chennai - 600100, Vijaya Nagar Near Sekar Stores",['+(91)-44-33046107'],www.facebook.com/tlbchennai, Monday  - 09:30 am - 07:00 am || Tuesday  - 09:30 am - 07:00 am || Wednesday  - 09:30 am - 07:00 am || Thursday  - 09:30 am - 07:00 am || Friday  - 09:30 am - 07:00 am || Saturday  - Closed || Sunday  - Closed,Kindergartens- Language- Classes- For- Hindi- Libraries- Playgroups- Hindi- Tutorials- Montessori- Schools- Creche- Nursery- Schools- Phonics- Classes- Language- Classes- more...,Cash,2011
 Apple Kids International Pre School,Kolathur,"No 36, 3rd Main Road Danarajapuram Extention, Kolathur, Chennai - 600099, Opposite Serndhaiyan Mahal",['+(91)-44-33058368'],, Monday  - 09:00 am - 05:00 pm || Tuesday  - 09:00 am - 05:00 pm || Wednesday  - 09:00 am - 05:00 pm || Thursday  - 09:00 am - 05:00 pm || Friday  - 09:00 am - 05:00 pm || Saturday  - Closed || Sunday  - Closed,Playgroups- Kindergartens- Day- Care- Centres- Nursery- Schools,,2015
 Thamarai Kids Academy,Koyambedu,"No 9, Bakthavasalam Street, Koyambedu, Chennai - 600107, Opposite Maruthi Show Room",['+(91)-44-33069216'],, Monday  - 09:00 am - 08:00 pm || Tuesday  - 09:00 am - 08:00 pm || Wednesday  - 09:00 am - 08:00 pm || Thursday  - 09:00 am - 08:00 pm || Friday  - 09:00 am - 08:00 pm || Saturday  - Closed || Sunday  - Closed,Kindergartens- Drawing- Classes- Playgroups- Creche- Nursery- Schools- Dance- Classes- For- Children- Western- Dance- Classes- For- Children- Pre- Schools- Music- Classes- For- Children- Pre- Nursery- Schools- more...,Cash,2010
 Orange Buds Preschool,Pallavaram,"No 4/54, Pillaiyar Koil Street R P Road, Pallavaram, Chennai - 600043, Opp To St Sebastin Matric School",['+(91)-44-33048966'],www.orangebuds.in, Monday  - 09:30 am - 02:30 pm || Tuesday  - 09:30 am - 02:30 pm || Wednesday  - 09:30 am - 02:30 pm || Thursday  - 09:30 am - 02:30 pm || Friday  - 09:30 am - 02:30 pm || Saturday  - 09:30 am - 02:30 pm || Sunday  - 10:00 am - 02:30 pm,Playgroups- Kindergartens,Cash- Cheques,2011
 Little Millennium,Ekkaduthangal,"No 89 4th Avenue, Sundar Nagar, Ekkaduthangal, Chennai - 600032, Behind Olympia IT Park&HCL Technologies",['+(91)-44-33028874'],www.littlemillennium.com, Monday  - 09:30 am - 06:30 pm || Tuesday  - 09:30 am - 06:30 pm || Wednesday  - 09:30 am - 06:30 pm || Thursday  - 09:30 am - 06:30 pm || Friday  - 09:30 am - 06:30 pm || Saturday  - 09:30 am - 06:30 pm || Sunday  - 09:30 am - 06:30 pm,Playgroups- Kindergartens- Day- Care- Centres- Chess- Coaching- Classes- Creche- CBSE- Tutorials- Class- VIII- Tutorials- Tutorials- For- Class- VII- Tutorials- For- Class- IV- 24- Hours- Creche- more...,Cash,2012
 Apple Kids,Tambaram East,"No 18, Venkatesan Street, Tambaram East, Chennai - 600059, Near Madras Christian College",['+(91)-44-33187399'],www.applekids.in, Monday  - 08:30 am - 08:00 pm || Tuesday  - 08:30 am - 08:00 pm || Wednesday  - 08:30 am - 08:00 pm || Thursday  - 08:30 am - 08:00 pm || Friday  - 08:30 am - 08:00 pm || Saturday  - 08:30 am - 01:00 pm || Sunday  - Closed,Playgroups- Kindergartens- Creche,Cash,2009
 Sprouts Montessori School,Mogappair East,"No B4, Valaiyapathi Road, J J Nagar, Mogappair East, Chennai - 600037, Near MMM Hospital",['+(91)-44-33894373'],www.sporoutsmontessori.in, Monday  - 08:00 am - 03:30 pm || Tuesday  - 08:00 am - 03:30 pm || Wednesday  - 08:00 am - 03:30 pm || Thursday  - 08:00 am - 03:30 pm || Friday  - 08:00 am - 03:30 pm || Saturday  - 08:00 am - 03:30 pm || Sunday  - Closed,Montessori- Schools- Kindergartens- Playgroups,Cash- Debit- Cards- Cheques- Credit- Card,2015
 The Kidz Castle,K K Nagar,"No -549 14th street, 4th sector, K K Nagar, Chennai - 600078",['+(91)-44-33890750'],www.facebook.com%2Fthekidzcastle, Monday  - 09:00 am - 07:00 pm || Tuesday  - 09:00 am - 07:00 pm || Wednesday  - 09:00 am - 07:00 pm || Thursday  - 09:00 am - 07:00 pm || Friday  - 09:00 am - 07:00 pm || Saturday  - 09:00 am - 07:00 pm || Sunday  - 09:00 am - 07:00 pm,Playgroups- Kindergartens- Nursery- Schools,Cash,2015
 Little Millennium,Madipakkam,"SAI Deeksha Learnings No 1/454, 3rd Street Karthikeyapuram, Madipakkam, Chennai - 600091, Near Ponniyamman Koil",['+(91)-44-33069810'],www.littlemillenniummadipakkam.com, Monday  - 12:00 am - 11:59 pm || Tuesday  - 12:00 am - 11:59 pm || Wednesday  - 12:00 am - 11:59 pm || Thursday  - 12:00 am - 11:59 pm || Friday  - 12:00 am - 11:59 pm || Saturday  - 12:00 am - 11:59 pm || Sunday  - 12:00 am - 11:59 pm,Nursery- Schools- Kindergartens- Playgroups- Day- Care- Centres- Primary- Schools- Montessori- Schools- Creche,Cash- Cheques,2010
 Apple Kids International,Kandanchavadi,"No 2, Wispering Meadows Facit Avenue Road, Kandanchavadi, Chennai - 600096, Near Post Office",['+(91)-44-33046251'],www.applekids.in, Monday  - 07:30 am - 08:00 pm || Tuesday  - 07:30 am - 08:00 pm || Wednesday  - 07:30 am - 08:00 pm || Thursday  - 07:30 am - 08:00 pm || Friday  - 07:30 am - 08:00 pm || Saturday  - 07:30 am - 08:00 pm || Sunday  - Closed,Playgroups- Kindergartens- Creche- Creche- Hourly,,2010
 Little Brook,Neelankarai-Palavakkam,"No 5/94, 3rd Cross Street Workers Estate, Neelankarai-Palavakkam, Chennai - 600041, Backsdie Of Marry Brown",['+(91)-44-39341908'],, Monday  - 08:30 am - 08:00 pm || Tuesday  - 08:30 am - 08:00 pm || Wednesday  - 08:30 am - 08:00 pm || Thursday  - 08:30 am - 08:00 pm || Friday  - 08:30 am - 08:00 pm || Saturday  - 08:30 am - 05:30 pm || Sunday  - Closed,Day- Care- Centres- Language- Classes- For- English- Conversation- Kindergartens- Tutorials- Language- Classes- For- Hindi- Home- Tutors- Playgroups- Summer- Camps- Tutorials- For- Class- X- Handwriting- Classes- more...,Cash,2014
 First Care,Gowrivakkam,"No 35, 1st Main Road Palaniyappa Nagar, Gowrivakkam, Chennai - 600073, Near Sivet College",['+(91)-44-39977377'],, Monday  - 12:00 am - 11:59 pm || Tuesday  - 12:00 am - 11:59 pm || Wednesday  - 12:00 am - 11:59 pm || Thursday  - 12:00 am - 11:59 pm || Friday  - 12:00 am - 11:59 pm || Saturday  - 12:00 am - 11:59 pm || Sunday  - 12:00 am - 11:59 pm,Day- Care- Centres- Kindergartens- Tutorials- Language- Classes- For- English- Language- Classes- For- Hindi- Tutorials- for- Class- XII- Home- Tutors- Drawing- Classes- Summer- Camps- Tutorials- For- Class- X- more...,Cash- Cheques- RTGS,2000
 Kanchana Paati My Grandmas Place,S Block-Anna Nagar,"Ad 67, 2nd street, S Block-Anna Nagar, Chennai - 600040, Near iyyapan temple",['+(91)-44-33763160'],www.kanchanapaati.in, Monday  - 08:30 am - 08:30 pm || Tuesday  - 08:30 am - 08:30 pm || Wednesday  - 08:30 am - 08:30 pm || Thursday  - 08:30 am - 08:30 pm || Friday  - 08:30 am - 08:30 pm || Saturday  - 08:30 am - 08:30 pm || Sunday  - 05:30 am - 05:30 am,Kindergartens- Playgroups- Day- Care- Centres- Summer- Camps- Creche- Training- Pre- School- Skills,Cash- Cheques,2006
 Kidzee Pre School,Thoraipakkam,"No 3b Shivas Bhagyam, Foundry Road, Thoraipakkam, Chennai - 600097, Near Sangeetha Restaurant Omr",['+(91)-44-33153095'],www.kidzee.com, Monday  - 08:00 am - 08:00 pm || Tuesday  - 08:00 am - 08:00 pm || Wednesday  - 08:00 am - 08:00 pm || Thursday  - 08:00 am - 08:00 pm || Friday  - 08:00 am - 08:00 pm || Saturday  - 08:00 am - 06:00 pm || Sunday  - Closed,Kindergartens- Language- Classes- For- English- Conversation- Dance- Classes- Language- Classes- For- English- Music- Classes- Playgroups- Abacus- Classes- Summer- Camps- Tutorials- For- Class- X- Music- Classes- For- Keyboard- more...,Cash- Cheques,2011
 Sprouts Montessori School,Mogappair East,"No B4, Valaiyapathi Road, J J Nagar, Mogappair East, Chennai - 600037, Near MMM Hospital",['+(91)-44-33894373'],www.sporoutsmontessori.in, Monday  - 08:00 am - 03:30 pm || Tuesday  - 08:00 am - 03:30 pm || Wednesday  - 08:00 am - 03:30 pm || Thursday  - 08:00 am - 03:30 pm || Friday  - 08:00 am - 03:30 pm || Saturday  - 08:00 am - 03:30 pm || Sunday  - Closed,Montessori- Schools- Kindergartens- Playgroups,Cash- Debit- Cards- Cheques- Credit- Card,2015
 Little Millennium,Madipakkam,"SAI Deeksha Learnings No 1/454, 3rd Street Karthikeyapuram, Madipakkam, Chennai - 600091, Near Ponniyamman Koil",['+(91)-44-33069810'],www.littlemillenniummadipakkam.com, Monday  - 12:00 am - 11:59 pm || Tuesday  - 12:00 am - 11:59 pm || Wednesday  - 12:00 am - 11:59 pm || Thursday  - 12:00 am - 11:59 pm || Friday  - 12:00 am - 11:59 pm || Saturday  - 12:00 am - 11:59 pm || Sunday  - 12:00 am - 11:59 pm,Nursery- Schools- Kindergartens- Playgroups- Day- Care- Centres- Primary- Schools- Montessori- Schools- Creche,Cash- Cheques,2010
 Zekii Kids,Santhome,"No 26, Santhome High Road Marina Square, Santhome, Chennai - 600004, Opposite Santhome High School","['18002095656', '+(91)-44-33043730']",zekiikids.org, Monday  - 09:00 am - 04:00 pm || Tuesday  - 09:00 am - 04:00 pm || Wednesday  - 09:00 am - 04:00 pm || Thursday  - 09:00 am - 04:00 pm || Friday  - 09:00 am - 04:00 pm || Saturday  - 10:00 am - 01:00 pm || Sunday  - Closed,Playgroups- Kindergartens,Cash,2013
 Smart Bees Play School,Tondiarpet,"Old No 752/1 New No 146, Tiruvottiyur High Road, Tondiarpet, Chennai - 600081, Near Aavinbooth",['+(91)-44-33187001'],, Monday  - 09:30 am - 06:30 pm || Tuesday  - 09:30 am - 06:30 pm || Wednesday  - 09:30 am - 06:30 pm || Thursday  - 09:30 am - 06:30 pm || Friday  - 09:30 am - 06:30 pm || Saturday  - 09:30 am - 06:30 pm || Sunday  - Closed,Kindergartens- Language- Classes- For- English- Home- Tutors- Playgroups- Tutorials- For- Maths- Home- Tutors- For- CBSE- Class- X- Science- Training- Pre- School- Skills,Cash- Master- Card- Visa- Card- Debit- Cards- Money- Orders- Cheques- Diners- Club- Card- Financing- Available- American- Express- Card- Credit- Card,2015
 Kinders Joy,Mappedu,"No 151, Kamarajar Street Thiruvancherry Madambakkam, Mappedu, Chennai - 600126, Near Lakshmi Ammal Engg College & Venkateshwara Super market",['+(91)-44-30649885'],, Monday  - 12:00 am - 11:59 pm || Tuesday  - 12:00 am - 11:59 pm || Wednesday  - 12:00 am - 11:59 pm || Thursday  - 12:00 am - 11:59 pm || Friday  - 12:00 am - 11:59 pm || Saturday  - 12:00 am - 11:59 pm || Sunday  - 12:00 am - 11:59 pm,Kindergartens- Playgroups- Day- Care- Centres- Creche- Creche- Hourly- more...,Cash- Cheques,2015
 Lilliput Activity Learning Centre,Adambakkam,"No 103, Ags Colony 3rd Main Road, Adambakkam, Chennai - 600088, near by Rammiyam Supermarket",['+(91)-44-33241296'],www.lilliputalc.com, Monday  - 08:30 am - 07:30 pm || Tuesday  - 08:30 am - 07:30 pm || Wednesday  - 08:30 am - 07:30 pm || Thursday  - 08:30 am - 07:30 pm || Friday  - 08:30 am - 07:30 pm || Saturday  - 09:30 am - 03:30 pm || Sunday  - Closed,Playgroups- Language- Classes- For- English- Conversation- Kindergartens- Language- Classes- For- English- Day- Care- Centres- Handwriting- Classes- Creche- Language- Classes- Pre- Schools- Summer- Camp- Yoga- more...,Cash- Cheques,2015
 Junior Legends,Kattupakkam,"Plot No 27, Kgt Nagar, Kattupakkam, Chennai - 600056, Near Maran Garden",['+(91)-44-33024171'],www.juniorlegends.co.in, Monday  - 08:30 am - 06:00 pm || Tuesday  - 08:30 am - 06:00 pm || Wednesday  - 08:30 am - 06:00 pm || Thursday  - 08:30 am - 06:00 pm || Friday  - 08:30 am - 06:00 pm || Saturday  - 08:30 am - 06:00 pm || Sunday  - 08:30 am - 06:00 pm,Primary- Schools- Kindergartens- Playgroups- Abacus- Classes- Summer- Camps- Arts- &- Crafts- Classes- Creche- Teacher- Training- Institutes- Nursery- Schools- Painting- Classes- more...,Cash- Cheques,2010
 Trileaves International School,Rajakilpakkam,"Thirumagal Nagar, Madambakkam Main Rd,Rajakilpakkam, Rajakilpakkam, Chennai - 600073, Behind Hansa Garden Appartments",['+(91)-44-33069567'],www.trileavesinternationalschool.com, Monday  - 09:00 am - 05:00 pm || Tuesday  - 09:00 am - 05:00 pm || Wednesday  - 09:00 am - 05:00 pm || Thursday  - 09:00 am - 05:00 pm || Friday  - 09:00 am - 05:00 pm || Saturday  - 09:00 am - 05:00 pm || Sunday  - Closed,Kindergartens- Playgroups- Day- Care- Centres- Nursery- Schools,Cash- Cheques,2013
 Euro Kids,Sowcarpet,"No 487, Mint Street, Sowcarpet, Chennai - 600001, Opposite To Punjab National Bank",['+(91)-44-33075567'],www.eurokidsindia.com, Monday  - 10:00 am - 04:00 pm || Tuesday  - 10:00 am - 04:00 pm || Wednesday  - 10:00 am - 04:00 pm || Thursday  - 10:00 am - 04:00 pm || Friday  - 10:00 am - 04:00 pm || Saturday  - 10:00 am - 04:00 pm || Sunday  - Closed,Kindergartens- Playgroups- Nursery- Schools,Cash- Master- Card- Visa- Card- Debit- Cards- Money- Orders- Cheques- Diners- Club- Card- Financing- Available- American- Express- Card- Credit- Card,2008
